Name,Protein,Fat,Link
Ham and Gruyère Scones,8g,22g,https://www.allrecipes.com/ham-and-gruyere-scones-recipe-8747672
7 Irresistible Ways to Use Leftover Cinnamon Raisin Bread,NA,NA,https://www.allrecipes.com/ways-to-use-cinnamon-raisin-bread-8732635
This Copycat Starbucks Lemon Loaf Tastes 'Exactly the Same' but Costs a Fraction of the Price,NA,NA,https://www.allrecipes.com/starbucks-copycat-iced-lemon-loaf-8645984
Irish Soda Bread,5g,6g,https://www.allrecipes.com/recipe/6750/irish-soda-bread-i/
Real Traditional Irish Soda Bread,9g,1g,https://www.allrecipes.com/recipe/213827/real-traditional-irish-soda-bread/
Irresistible Irish Soda Bread,5g,5g,https://www.allrecipes.com/recipe/7095/irresistible-irish-soda-bread/
Brennan's Irish Soda Bread,4g,1g,https://www.allrecipes.com/recipe/213830/brennans-irish-soda-bread/
Mini Sausage Pancake Muffins,5g,6g,https://www.allrecipes.com/mini-sausage-pancake-muffins-recipe-8403975
Cinnamon Bread,4g,6g,https://www.allrecipes.com/recipe/6934/cinnamon-bread-i/
Conchas (Mexican Sweet Bread),7g,15g,https://www.allrecipes.com/recipe/88907/conchas-mexican-sweet-bread/
Pan de Muertos (Mexican Bread of the Dead),5g,5g,https://www.allrecipes.com/recipe/7224/pan-de-muertos-mexican-bread-of-the-dead/
Cinnamon Roll Monkey Bread,2g,11g,https://www.allrecipes.com/recipe/284760/cinnamon-roll-monkey-bread/
"""Thousand Layer"" Chocolate Brioche",12g,22g,https://www.allrecipes.com/recipe/8518477/thousand-layer-chocolate-brioche/
Air Fryer Mini Croissants with Nutella and Jam,3g,14g,https://www.allrecipes.com/recipe/8457748/air-fryer-mini-croissants-with-nutella-and-jam/
Air Fryer Cherry Cream Cheese Croissants,5g,16g,https://www.allrecipes.com/recipe/8458926/air-fryer-cherry-cream-cheese-croissants/
Banana Zucchini Bread,4g,11g,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/
Adjarian Khachapuri,30g,31g,https://www.allrecipes.com/recipe/8525280/adjarian-khachapuri/
Irish Barmbrack,4g,1g,https://www.allrecipes.com/recipe/162072/irish-barmbrack/
Irish Soda Bread in a Skillet,4g,1g,https://www.allrecipes.com/recipe/51447/irish-soda-bread-in-a-skillet/
The World's Best Irish Soda Bread,6g,5g,https://www.allrecipes.com/recipe/236816/the-worlds-best-irish-soda-bread/
Irish Soda Bread from County Cork,5g,5g,https://www.allrecipes.com/recipe/213829/irish-soda-bread-from-county-cork/
Grandma McAndrews' Irish Soda Bread,7g,6g,https://www.allrecipes.com/recipe/213832/grandma-mcandrews-irish-soda-bread/
Gluten-Free Irish Soda Bread,4g,1g,https://www.allrecipes.com/recipe/139275/gluten-free-irish-soda-bread/
Bread Machine Irish Soda Bread,6g,2g,https://www.allrecipes.com/recipe/7083/irish-soda-bread-iii/
Oatmeal Soda Bread,5g,9g,https://www.allrecipes.com/recipe/7030/oatmeal-soda-bread/
Irish Soda Bread IV,5g,6g,https://www.allrecipes.com/recipe/7096/irish-soda-bread-iv/
Irish Soda Bread Muffins,6g,5g,https://www.allrecipes.com/recipe/256753/irish-soda-bread-muffins/
Banana Bread - Quick Bread for Machines,4g,5g,https://www.allrecipes.com/recipe/7116/banana-bread-quick-bread-for-machines/
Mom's Zucchini Bread,3g,13g,https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/
Downeast Maine Pumpkin Bread,3g,10g,https://www.allrecipes.com/recipe/6820/downeast-maine-pumpkin-bread/
Quick Cinnamon Rolls,4g,9g,https://www.allrecipes.com/recipe/241917/quick-cinnamon-rolls/
Basic Biscuits,3g,11g,https://www.allrecipes.com/recipe/20075/basic-biscuits/
Simple Scones,5g,16g,https://www.allrecipes.com/recipe/79470/simple-scones/
Clone of a Cinnabon,8g,19g,https://www.allrecipes.com/recipe/20156/clone-of-a-cinnabon/
Cinnamon Roll Pull-Apart Toast,9g,11g,https://www.allrecipes.com/cinnamon-roll-pull-apart-toast-recipe-8666857
Lemon Cheesecake Creme Brulee Croissants,14g,34g,https://www.allrecipes.com/lemon-cheesecake-creme-brulee-croissants-recipe-8668473
Flat Croissant with Nutella and Berries,18g,69g,https://www.allrecipes.com/flat-croissant-with-nutella-and-berries-recipe-8668537
Cinnamon Roll Focaccia,6g,19g,https://www.allrecipes.com/cinnamon-roll-focaccia-recipe-8610782
Cinnamon Toast,2g,5g,https://www.allrecipes.com/recipe/52688/cinnamon-toast/
Hot Water Cornbread,2g,3g,https://www.allrecipes.com/recipe/6953/hot-water-cornbread/
Jamaican Fried Dumplings,9g,20g,https://www.allrecipes.com/recipe/139948/jamaican-fried-dumplings/
English Muffins,5g,4g,https://www.allrecipes.com/recipe/6947/english-muffins/
Banana Sour Cream Bread,4g,10g,https://www.allrecipes.com/recipe/6984/banana-sour-cream-bread/
Blueberry Loaf,3g,5g,https://www.allrecipes.com/recipe/229694/blueberry-loaf/
Best Zucchini Bread,3g,12g,https://www.allrecipes.com/recipe/6915/zucchini-bread-iv/
90-Second Keto Bread in a Mug,15g,36g,https://www.allrecipes.com/recipe/263032/90-second-keto-bread-in-a-mug/
Cinnamon Swirl Bread,3g,7g,https://www.allrecipes.com/recipe/23376/cinnamon-swirl-bread/
Cranberry Orange Bread,5g,12g,https://www.allrecipes.com/recipe/228118/cranberry-orange-bread/
J.P.'s Big Daddy Biscuits,6g,13g,https://www.allrecipes.com/recipe/7040/jps-big-daddy-biscuits/
Easy Baking Powder Drop Biscuits,3g,9g,https://www.allrecipes.com/recipe/102151/easy-baking-powder-drop-biscuits/
Best Basic Sweet Bread,7g,9g,https://www.allrecipes.com/recipe/27023/best-basic-sweet-bread/
Sweet Cornbread Cake,8g,21g,https://www.allrecipes.com/recipe/146572/sweet-cornbread-cake/
Pepperoni Rolls,7g,10g,https://www.allrecipes.com/recipe/187812/pepperoni-rolls/
Real Homemade Bagels,2g,7g,https://www.allrecipes.com/recipe/220619/real-homemade-bagels/
Cinnamon Rolls From Frozen Bread Dough - EASY,3g,6g,https://www.allrecipes.com/recipe/230133/cinnamon-rolls-from-frozen-bread-dough-easy/
Copycat Starbucks Pumpkin Bread,6g,24g,https://www.allrecipes.com/recipe/246817/starbucks-pumpkin-bread/
Blueberry Zucchini Bread,5g,20g,https://www.allrecipes.com/recipe/74657/blueberry-zucchini-bread/
Hot Cross Buns,5g,4g,https://www.allrecipes.com/recipe/7073/hot-cross-buns-i/
Strawberry Bread,3g,17g,https://www.allrecipes.com/recipe/9353/strawberry-bread/
Amazing Lemon Scones,5g,21g,https://www.allrecipes.com/recipe/229571/amazing-lemon-scones/
Popovers,6g,3g,https://www.allrecipes.com/recipe/7238/popovers/
Brown Sugar Banana Bread,5g,13g,https://www.allrecipes.com/recipe/214581/brown-sugar-banana-bread/
World's Best Scones! From Scotland to the Savoy to the U.S.,5g,10g,https://www.allrecipes.com/recipe/85629/worlds-best-scones-from-scotland-to-the-savoy-to-the-us/
Cinnamon Swirl Bread for the Bread Machine,4g,7g,https://www.allrecipes.com/recipe/228525/cinnamon-swirl-bread-for-the-bread-machine/
Banana Loaf,4g,12g,https://www.allrecipes.com/recipe/20739/banana-loaf/
Chef John's Dutch Babies,8g,17g,https://www.allrecipes.com/recipe/239993/chef-johns-dutch-babies/
Simple Banana Bread,5g,5g,https://www.allrecipes.com/recipe/6757/simple-banana-bread/
